148,"79,17",AuCl3,gold trichloride,3/30/2022 9:01,3/30/2022 9:01
149,"79,9",AuF3,gold trifluoride,3/30/2022 9:01,3/30/2022 9:01
150,"79,53",AuI,gold iodide,3/30/2022 9:01,3/30/2022 9:01
151,"79,53",AuI3,gold(III) iodide,3/30/2022 9:01,3/30/2022 9:01
152,"79,8,1",Au(OH)3,gold hydroxide,3/30/2022 9:01,3/30/2022 9:01
153,"79,52",AuTe,gold telluride,3/30/2022 9:01,3/30/2022 9:01
154,"79,8",Au2O3,gold trioxide,3/30/2022 9:01,3/30/2022 9:01
155,"79,16",Au2S,gold sulfide,3/30/2022 9:01,3/30/2022 9:01
156,"79,16",Au2S3,gold trisulfide,3/30/2022 9:01,3/30/2022 9:01
157,"79,34,8",Au2(SeO4)3,gold triselenate,3/30/2022 9:01,3/30/2022 9:01
158,"79,34",Au2Se3,gold triselenide,3/30/2022 9:01,3/30/2022 9:01
159,"5,33",BAs,boron arsenide,3/30/2022 9:01,3/30/2022 9:01
160,"5,33,8",BAsO4,boron(III) arsenate,3/30/2022 9:01,3/30/2022 9:01
161,"5,35",BBr3,boron tribromide,3/30/2022 9:01,3/30/2022 9:01
162,"5,17",BCl3,boron trichloride,3/30/2022 9:01,3/30/2022 9:01
163,"5,9",BF3,boron trifluoride,3/30/2022 9:01,3/30/2022 9:01
164,"5,53",BI3,boron iodide,3/30/2022 9:01,3/30/2022 9:01
165,"5,7",BN,boron nitride,3/30/2022 9:01,3/30/2022 9:01
166,"5,8,1",B(OH)3,boric acid,3/30/2022 9:01,3/30/2022 9:01
167,"5,15",BP,boron(III) phosphide,3/30/2022 9:01,3/30/2022 9:01
168,"5,15,8",BPO4,boron(III) orthophosphate,3/30/2022 9:01,3/30/2022 9:01
169,"5,17",B2Cl4,boron chloride,3/30/2022 9:01,3/30/2022 9:01
170,"5,9",B2F4,boron trifluoride,3/30/2022 9:01,3/30/2022 9:01
171,"5,1",B2H6,boron hydride,3/30/2022 9:01,3/30/2022 9:01
172,"5,8",B2O3,boron(III) oxide,3/30/2022 9:01,3/30/2022 9:01
173,"5,16",B2S3,boron sulfide,3/30/2022 9:01,3/30/2022 9:01
174,"5,7,1",B3N3H6,borazine,3/30/2022 9:01,3/30/2022 9:01
175,"5,6",B4C,boron carbide,3/30/2022 9:01,3/30/2022 9:01
176,"56,13,8",Ba(AlO2)2,barium aluminate,3/30/2022 9:01,3/30/2022 9:01
177,"56,33,8",Ba(AsO3)2,barium arsenite,3/30/2022 9:01,3/30/2022 9:01
178,"56,33,8",Ba(AsO4)2,barium arsenate,3/30/2022 9:01,3/30/2022 9:01
179,"56,5",BaB6,barium hexaboride,3/30/2022 9:01,3/30/2022 9:01
180,"56,35,8,1",Ba(BrO3)2텵2O,barium bromate monohydrate,3/30/2022 9:01,3/30/2022 9:01
181,"56,35,8,1",Ba(BrO3)2�2H2O,barium bromate dihydrate,3/30/2022 9:01,3/30/2022 9:01
182,"56,35",BaBr2,barium bromide,3/30/2022 9:01,3/30/2022 9:01
183,"56,6,1,8",Ba(CHO2)2,barium formate,3/30/2022 9:01,3/30/2022 9:01
184,"56,6,1,8",Ba(C2H3O2)2,barium acetate,3/30/2022 9:01,3/30/2022 9:01
185,"56,6,7",Ba(CN)2,barium cyanide,3/30/2022 9:01,3/30/2022 9:01
186,"56,6,8",BaC2O4,barium oxalate,3/30/2022 9:01,3/30/2022 9:01
187,"56,6",BaC2,barium carbide,3/30/2022 9:01,3/30/2022 9:01
188,"56,6,8",BaCO3,barium carbonate,3/30/2022 9:01,3/30/2022 9:01
189,"56,6,8",BaCO3,witherite,3/30/2022 9:01,3/30/2022 9:01
190,"56,17,8",Ba(ClO4)2,barium perchlorate,3/30/2022 9:01,3/30/2022 9:01
191,"56,17",BaCl2,barium chloride,3/30/2022 9:01,3/30/2022 9:01
192,"56,24,8",BaCrO4,barium chromate,3/30/2022 9:01,3/30/2022 9:01
193,"56,24,8",BaCrO4,barium chromate(VI),3/30/2022 9:01,3/30/2022 9:01
194,"56,9",BaF2,barium fluoride,3/30/2022 9:01,3/30/2022 9:01
